0.5,1,1,0.92,1,1,1,0.92,0.92,1,1,1,1,1,1,1,1,1,0.9168,1,1,1,0.9168,0.9168,0.92,1,1,1,1,1,1,1,0.9168,1,1,1
1,0.9936,1,1,0.9936,1,1,1,1,1,0.8976,0.9008,1,1,0.9936,1,1,1,0.8976,1,1,1,1,1,1,0.9936,1,1,1,1,0.9936,1,1,1,1,1
1.5,0.9776,0.9936,0.9744,0.9776,0.9872,0.9872,0.9744,0.9776,0.9744,0.968,0.9872,0.9712,0.9744,0.968,0.9776,0.9872,0.9552,0.9808,0.9712,0.9872,0.9744,0.9584,1,0.968,0.9808,0.9872,0.9776,0.9808,0.9872,0.968,0.9744,0.9872,0.952,0.9584,0.9808
2,0.9072,0.8976,0.8144,0.8944,0.8208,0.8528,0.8688,0.856,0.8592,0.8944,0.8464,0.8624,0.9008,0.9168,0.8848,0.8656,0.9136,0.888,0.9072,0.8432,0.8848,0.7888,0.8528,0.9296,0.8848,0.9168,0.9328,0.8656,0.9232,0.792,0.8208,0.8464,0.8528,0.8368,0.8784
2.5,0.5584,0.5072,0.4112,0.6,0.6672,0.6256,0.4784,0.5616,0.5232,0.5616,0.4848,0.52,0.5232,0.5104,0.5232,0.552,0.6032,0.472,0.6,0.5488,0.5168,0.5616,0.552,0.5168,0.6032,0.6832,0.5072,0.5904,0.5616,0.584,0.6096,0.5968,0.5488,0.5424,0.5232
3,0.4272,0.3536,0.4304,0.4432,0.3696,0.4816,0.3568,0.4496,0.4112,0.3888,0.376,0.3856,0.4656,0.4496,0.3664,0.456,0.4112,0.3312,0.3696,0.376,0.4016,0.4272,0.488,0.424,0.3856,0.3824,0.312,0.3472,0.4912,0.3728,0.392,0.4464,0.408,0.4208,0.3952
3.5,0.3664,0.3632,0.3824,0.3632,0.3632,0.3024,0.376,0.3984,0.3248,0.3856,0.3344,0.3216,0.3184,0.3664,0.3792,0.3344,0.3376,0.3376,0.3408,0.3632,0.3312,0.2992,0.312,0.2832,0.2832,0.264,0.3504,0.3056,0.3248,0.4144,0.3728,0.392,0.3184,0.3504,0.3856
4,0.2832,0.296,0.2,0.2928,0.248,0.2544,0.3024,0.2704,0.2896,0.2928,0.2864,0.248,0.264,0.2864,0.3216,0.3536,0.3376,0.2704,0.3344,0.2384,0.328,0.2736,0.2832,0.2992,0.312,0.2544,0.232,0.2352,0.2768,0.2608,0.2416,0.3312,0.2768,0.3184,0.2608
4.5,0.232,0.2608,0.2864,0.1808,0.2864,0.2288,0.2096,0.3248,0.296,0.2352,0.2256,0.2224,0.2544,0.28,0.2544,0.2352,0.2352,0.2032,0.2672,0.2192,0.2352,0.2512,0.232,0.2896,0.2448,0.2192,0.2544,0.2512,0.2544,0.2384,0.1584,0.2064,0.2384,0.2352,0.1744
5,0.248,0.1776,0.1456,0.2064,0.2096,0.2224,0.2,0.1968,0.1872,0.2512,0.216,0.2128,0.1968,0.2768,0.2672,0.2032,0.2288,0.1968,0.2384,0.232,0.1936,0.2128,0.1872,0.2576,0.1936,0.2256,0.216,0.2416,0.1712,0.2224,0.2064,0.2288,0.2224,0.2,0.1872
5.5,0.1552,0.1488,0.184,0.1616,0.104,0.1776,0.2,0.1648,0.2416,0.152,0.2,0.1936,0.2256,0.184,0.2064,0.1808,0.1968,0.1936,0.1904,0.2192,0.1808,0.2192,0.1808,0.2192,0.1776,0.2288,0.1296,0.1936,0.2032,0.1712,0.2384,0.1776,0.1392,0.1904,0.184
6,0.1968,0.136,0.1936,0.2064,0.2064,0.1552,0.1008,0.152,0.152,0.1392,0.136,0.1776,0.1616,0.1904,0.1424,0.1936,0.2224,0.2256,0.1776,0.1744,0.2064,0.1584,0.1232,0.1872,0.1776,0.1744,0.1232,0.1936,0.136,0.1328,0.152,0.1712,0.1904,0.1296,0.1808
6.5,0.2096,0.1552,0.136,0.1712,0.136,0.1488,0.1232,0.168,0.2,0.152,0.1744,0.2032,0.1392,0.1456,0.1584,0.1584,0.1424,0.1744,0.1808,0.1744,0.1584,0.1424,0.168,0.1776,0.136,0.184,0.1232,0.1552,0.1616,0.2128,0.1936,0.1456,0.1232,0.168,0.2416
7,0.184,0.136,0.12,0.104,0.1808,0.136,0.136,0.1872,0.12,0.1392,0.2032,0.1552,0.184,0.1328,0.1648,0.1008,0.1392,0.1456,0.1584,0.1776,0.184,0.1616,0.1072,0.2032,0.1744,0.1392,0.1872,0.0816,0.1552,0.1552,0.1648,0.1392,0.088,0.1008,0.152
7.5,0.12,0.1104,0.1552,0.152,0.1776,0.1392,0.104,0.1552,0.136,0.1392,0.1456,0.1456,0.1456,0.1904,0.1456,0.0944,0.1584,0.1488,0.1136,0.1424,0.168,0.12,0.152,0.1776,0.136,0.152,0.0976,0.1808,0.104,0.2,0.1424,0.1744,0.1616,0.1552,0.1392
8,0.0912,0.136,0.1008,0.1648,0.1104,0.1712,0.1424,0.1104,0.1264,0.1488,0.1072,0.12,0.0976,0.1168,0.1552,0.1232,0.1072,0.1264,0.136,0.1328,0.1488,0.12,0.1136,0.1456,0.1072,0.168,0.1168,0.1136,0.072,0.168,0.12,0.1136,0.0944,0.1424,0.1776
